wrong	correct
apprentiship	apprenticeship
deluncious	delinquent
agregates	aggregates
laughes	laughs
breathe	breath
canvious	canvass
debtet	debit
fatd	great
negoitation	negotiations
vaya	vagabond
rectesting	requesting
accostuned	accustomed
sang	shaggy
commuicat	communicate
portent	pretend
polit	pilot
comimittees	committees
discidedly	decidedly
vandand	vagabond
feiwed	viewed
offtan	often
defantnut	definite
hent	hint
brigth	bridge
Presidants'	president's
damdend	damaged
presberitory	presbytery
biscats	biscuits
wart	where
meshien	machine
magneisent	magnificent
facillitys	facilities
ascociation	association
elimentory	elementary
curryous	curious
rules	rulers
skale	scale
predugist	prejudice
Pregidice	prejudice
axcident	accident
mangnicfent	magnificent
rela	real
aply	apply
wiling	willing
weute	requesting
sckedual	schedule
less	leeds
appertentaly	apparently
maner	manner
symphtic	sympathetic
suficiant	sufficient
occurance*2	occurrence
inconvienances	inconvenience
garden	guardian
symettrical	symmetrical
metalurgic	metallurgic
tesded	touched
stolon	stolen
troups	troupes
abord	avoid
alright*2	all_right
serat	city
termanent	tournament
refreshmernt	refreshment
supteranion	subterranean
misalanius	miscellaneous
indifinently	indefinitely
dunt	dart
asemnly	assembly
to-days	to-day's
flosphey	philosophy
apxormanately	approximately
sickoligy	psychology
frite	fight
enthinastic	enthusiastic
seacly	scarcely
camploft	pamphlet
turall_ran	trial-run
unparale	unparalleled
duit	dart
alockments	allotment
met	me
dome	done
exiting	exciting
unconviced	unconvinced
effecience	efficiency
estableshing	establishing
hair_dressing	hairdressing
Volgor	vulgar
connsious	conscious
seiced	seized
micsoulanous	miscellaneous
phisolay	philosophy
Romantic	romantic
other_wise*3	otherwise
strue	stars
resarce	resource
parenthasis	parenthesis
part_time	part-time
servis	surplus
philophsophy	philosophy
simulated	stimulated
curculing	circling
whisling	whistling
favorate	favourite
envieseasem	enthusiasm
gag	gauge
veroes	various
Phonia	pneumonia
unacsesible	inaccessible
seser	saucer
tragedity	tragedy
recemend	recommend
iterment	instruments
practacing	practising
betifull	beautiful
enthesyastic	enthusiastic
ch	cochlea
angisity	anxiety
accationally	occasionally
avenge	avoid
privilages	privileges
ansir	answer
micely	nicely
desinden	designed
suitible	suitable
walk	walks
oftain	often
fiend	friend
daubt	doubt
sim	seem
lot	lots
curcer	curtains
cancelation	cancelling
daye	dangerous
in_fisenasen	enthusiasm
drewe	drew
a_meckle	immediately
ceased	seized
eficiciency	efficiency
szeid	seized
garuantee	guarantee
deanned	deem
frizzing	freezing
rolld	rolled
afthe	after
becom	become
wheel_barrow	wheelbarrow
garenttee	guarantee
bite	belt
desgined	designed
equped	equipped
begaining	beginning
bone	done
deturmand	determined
distanctly	distinctly
lot	a_lot
epelton	equipped
shucking	shaggy
entheseusem	enthusiasm
troblernsom	troublesome
garge	gauge
consiencess	conscientious
forseeable	foreseeable
anerser	answer
expeshley	especially
wonder	women
wowd	women
incedantally	incidentally
distrect	district
rebers	repairs
part-eclipse	partial_eclipse
farolc	traffic
askedent	accident
my	the
optition	optician
maknivson	splendid
weght	weight
pneumunia	pneumonia
echwelly	equally
tride	tried
unberstand	understand
magnicsend	magnificent
formost	foremost
harras	harass
conetisons	conditions
batallion*2	battalion
hertbreake	heartbreak
pilet	pilot's
mond	monday
can	catch
venturlated	ventilated
puyms	poems
biger*2	bigger
deftinately	definitely
woke	work
increasinly	increasingly
suffecienly	sufficiently
enters	entrance
collonies	colonies
seepping	spinning
incorperation	incorporation
lows	loose
episuple	epistle
neigbour*2	neighbour
confortable	comfortable
exsagurate	exaggerate
macnifcent	magnificent
reticuous	ridiculous
berfore	before
critici	criticism
apperatos	apparatus
predijice	prejudice
mountainees	mountainous
oppratorate	appropriate
surrouded	surrounded
deformaty	deformity
premonitly	permanently
attiching	attaching
troten	trotting
sledid	splendid
esteamed	esteemed
a'er	ere
enitionation	initiation
recrisition	requisition
aggentecies	agencies
enthusian	enthusiasm
corradul	collateral
comfentenl	comfortable
exqueste	exquisite
tourimant	tournament
ills	curtains
towords	towards
beautyful	beautiful
guarrottee	guarantee
seatized	seized
tecknical	technical
exsadurat	exaggerate
wreack	wreck
cholep	called
mieums	museums
geomotry	geometry
exeptionally	exceptionally
queit	quite
pur	pure
absurb	absurd
probalum	problem
verterue	virtue
bankrupercy	bankruptcy
finuls	final
voteing	voting
sclfoly	skilfully
practicioners	practitioners
critizition	criticism
buildt	built
satisfactonly	satisfactorily
equifly	equally
controled*2	controlled
stenious	strenuous
feture	feature
fery	ferry
indefinat	indefinite
has	heard
steirly	scarcely
seacuse	cease
us_aselly	especially
comptant	competent
there	these
controversey	controversy
cpn	captain
postoffice	post_office
costomery	customary
repairation	reparation
exceptionaly	exceptionally
pression	precision
tempratur	temperature
twen	twin
personalert	personality
skiverly	skilfully
letter	later
brakes	breaks
highdrawrick	hydraulic
kernal	colonel
dred	dread
pnenomionia	pneumonia
perseverence	perseverance
anniversay	anniversary
foucher	voucher
nocked	knocked
hydrawlick	hydraulic
ladh*2	laid
greive*2	grieve
imation	imitation
daders	dangerous
grage	gradually
berg	beg
countel	council
temperary	temporary
inconiven	inconvenient
buttd	beautiful
panfalit	pamphlet
ettalared	altitude
regurne	region
techinal	technical
excecute	execute
regjen	region
waud	wonder
faxe	fax
eminsily	immensely
remane	remain
polits	pilot's
politition	politician
effectinly	affectionately
dormortory	dormitory
garent	guarantee
customars	customer's
literial	literally
missalaneis	miscellaneous
head-master	headmaster
frighatend	frightened
exgistance	existence
sisors	scissors
imigrant	emigrant
persichion	precision
tech	teach
equasion	equation
sackreligious	sacrilegious
fright	fight
memanpies	memorandum
vacanous	vacancies
tradgy	tragedy
gauadian	guardian
shab	shaggy
satlistash	satisfaction
in_strement	instruments
rab	rob
pased	passed
aventually	eventually
pepo	people
devide*2	divide
redgeisdes	prejudice
conceintious	conscientious
eclispe	eclipse
acshorly	actually
crosing	crossing
courtiesies	courtesies
head_master	headmaster's
beuitful	beautiful
tape_recorder	tape-recorder
behaver	behaviour
Catalogs	catalogues
sunent	sons
accostumed	accustomed
anscious	anxious
exsample	example
tulls	choose
enthousiasum	enthusiasm
Shautalkwa	Chautauqua
Crist	Christ
eniticion	initiation
essals	easels
siting*3	sitting
coidisions	conditions
exsstants	existence
Perminately	permanently
nat	not
manobrandom	memorandum
festinating	fascinating
occompanying	accompanying
minnimium	minimum
exwiset	exquisite
drinks	juice
vagacy	vagabond
musiem	museum
friezeing	freezing
bridg	bridge
attacked	attached
lorb	loud
enyays	enjoys
comdash	accomplished
inacesesible	inaccessible
equley	equally
vacantcy	vacancies
Ghandi	Gandhi
be	beginning
refergator	refrigerator
doll	dull
filld	filled
geomtry	geometry
visuble	visible
carronteed	guarantee
supision	suspicion
spicial	special
anxioty	anxiety
provid	provide
alledge	allege
atstablishing	establishing
siniture	signature
calateral	collateral
dratras	dangerous
poilice	police
sall	sell
sypathtic	sympathetic
disippate*2	dissipate
armar	altimeter
stearing	staring
cheeper	cheaper
chiking	chickens
frignd	be_frightened
liv	live
aimiably	amiable
carachter	character
inconvenients	inconvenienced
ficticious	fictitious
travell	travel
familier	familiar
analasys	analysis
instal	install
falgrncy	flagrancy
tope	chop
annalizes	analysis
proloame	prologue
kingdegatern	kindergarten
accknowlegment	acknowledgement
thess	these
contempible	contemptible
memey	many
evey_bod	everybody
extheordinary	extraordinary
boulder	vulgar
extorandory	extraordinary
fratrunaly	fraternally
commtied	committed
Adam	Adam's
aer	our
recond	reckon
happie	happy
plimmernary	preliminary
alumnae	alumni
inconvenice	inconvenience
anuaual	annual
afftadave	affidavit
crat	trap
refrastment	refreshment
them*2	then
secion	section
autatorom	auditorium
skilfarly	skilfully
dests	desks
daimond	diamond
kingergarton	kindergarten
aet	ate
shichis	stitches
palte	pilot
colataral	collateral
inconfience	inconvenience
arownd	around
acuatly	actually
statistory	satisfactorily
lawer	lawyer
refridguator	refrigerator
sypathetic	sympathetic
occurrance	occurrence
descrettion	discretion
reciently	recently
refiring	referring
presidents'	president's
orchestre	orchestra
dammage	damaged
anyelsis	analysis
arangments	arrangements
infanent	infinite
estsablishing	establishing
gourgace	gorgeous
satisfactoin	satisfaction
imphasiasm	enthusiasm
noun	name
indefinate	indefinite
chane	chain
agression	aggression
buillton	bulletin
ordinonaly	ordinarily
vertuse	virtues
unaimous	unanimous
equunte	equipped
anthouasem	enthusiasm
substeranium	subterranean
police_man*6	policeman
incefecient	incidentally
Franch	French
Japannese	Japanese
econalical	economical
reckcomended	recommended
howeverr	however
know*4	no
leve*2	leave
anivesery	anniversary
matrial	materially
for	form
inconvinance	inconvenience
benificial*2	beneficial
asurtaine	ascertain
surroned	surrounded
visibale	visible
disighed	designed
blackcurrents	blackcurrants
this	his
enthuans	enthusiasm
metropolitian	metropolitan
nat	mat
pip	pipe
idividualistic	individualistic
apperance	appearance
annointed	anointed
nei	any
skillferly	skilfully
endetf	earth
exci	exists
injury	enjoy
simpercity	sympathetic
breaktime	break_time
predjudice	prejudice
acreued	accrued
pounia	pneumonia
sovereignity	sovereignty
pratically	practically
pregnent	pregnant
wick	woke
decedaly	decidedly
chataque	Chautauqua
anella	analysis
spiy	spy
volfure	voucher
soverignity	sovereignty
enthuseasam	enthusiasm
alot	allot
piltea	pilot
conte	contented
visted	visited
Hitlar	Hitler
apropate	appropriate
bongulo	bungalow
inconvenced	inconvenienced
Ecomonical	economical
acordance	accordance
requsion	requisition
exibtion	exhibition
inishiation	initiation
ralway	railway
certens	curtains
surfdom	serfdom
defaully	definitely
to	about
margage	mortgage
reuathism	rheumatism
conscienceness	conscience
cartaker	caretaker
dosen	dozen
Fiyer	Fire
cymitery	symmetry
loast	lost
vicitet	visited
theridically	theoretical
anbrassed	embarrassed
poum	poems
seventen	seventeen
cycoligaty	psychology
similiarity	similarity
romatics	romantic
with_aot	without
wreck	rec
Stranden	Stranded
potery	pottery
teckniqual	technical
correspondents	correspondence
doromortory	dormitory
stongly	strongly
eassier	easier
gorgus	gorgeous
altermetor	altimeter
bek	back
inconvenent	inconvenient
shebre	Sheba
yoy	why
recomondening	recommending
afectoinly	affectionately
acheivments	achievements
heros	heroes
analoyas	analysis
concienitous	conscientious
hicocter	helicopter
intersede	intercede
enthusiast	enthusiastic
eaquly	equally
find*2	fine
tenacle	tentacle
northereastern	northeastern
pokects	pockets
avode	avoid
setinly	certainly
presious	precious
archaology	archeology
rhematism	rheumatism
vouncher	voucher
atmosfere	atmosphere
ajurened	adjourned
leteralaly	literally
appromaxiately	approximately
preduous	prejudice
immidately*2	immediately
thats*10	that's
permanentley	permanently
maloncolly	melancholy
hypotathese	hypothesis
ininsit	innocent
anable	enable
jumper	jumped
enviornment	environment
la	lay
untideness	untidiness
eccnomics	economics
pilts	pilot's
kintergarten	kindergarten
dicovering	discovering
nucleur	nuclear
Tusday	Tuesday
vitures	virtues
odened	opened
annima	annum
picificly	specifically
saten	satin
previlidge	privilege
afful	awful
primerly	preliminary
scapping	scraping
contrefercing	controversy
nousey	noisy
unmistakeable	unmistakable
sother	southern
miscolaneous	miscellaneous
contiencious	conscientious
hope	happy
curriousity	curiosity
reciprocel	reciprocal
ersistable	irresistible
sicorrs	scissors
acknoledging	acknowledging
hachess	hatches
every_body	everybody
ancs	anxious
thng	thing
subsiquent	subsequent
delient	delinquent
rain_coats	raincoats
vaulger	vulgar
wet	would
aprocamate	approximate
interpart	interpretation
dark	back
specament	specimen
fundimental	fundamental
coolaterial	collateral
inactessable	inaccessible
neccesity	necessity
misatainess	miscellaneous
diamater	diameter
differnt	different
unfergetable	unforgettable
flukse	flux
dund	done
imanent	imminent
bister	best
neednot	need_not
awrost	dinner
thorally	thoroughly
propogates	propagates
villin	villein
annouance	annoyance
vistid	visited
def	devices
hire	higher
polititon	politician
guarented	guaranteed
schuedule	scheduled
parteners	partners
transcendance	transcendence
ade	add
onniver	anniversary
facountcy	vacancy
anhour	an_hour
live	life
bus	bridge
restictive	restrictive
waching	washing
advalbal	available
sacrellergeous	sacrilegious
definate*3	definite
refidualetor	refrigerator
fere	very
accension	accession
nosey	noisy
comfortble	comfortable
udoubtly	undoubtedly
triping	tripping
amplying	alpine
anxiaty	anxiety
outpen	alpine
esadend	accident
rehomatic	romantic
a_spast	especially
aechd	aged
epitol	epistle
tecln	technologically
distingish	distinguish
unfortnate	unfortunate
dangearos	dangerous
acellerate	accelerate
reasen	recently
ower	our
vurtutes	virtues
sant	sent
copping	coping
thracant	tracksuit
antiscipation	anticipation
herslef	herself
cierciling	circling
tighting	tightening
financhial	financial
evaualtion	evaluation
comitte	committee
consents	conscience
jenius	genius
gripe	grip
extesy	ecstasy
posesses	possess
shur	sure
dissobediance	disobedience
lief	life
tommorrow*4	tomorrow
dodeged	dodged
prediges	prejudice
anythin	anything
fount	found
aproxmentally	approximately
poletree	poultry
hedg	hedge
cifye	city
shog	shaggy
philipinoes	filipinos
foot-ball	football
altitube	altitude
soshger	searched
glass-rooms	classrooms
torrment	tournament
spear	spare
poshr	poems
unterned	unturned
iconvinent	inconvenient
micellaneous	miscellaneous
proceedual	procedure
bawd	bored
wond	wonder
orgin	origin
irisible	irresistible
stomc	stomach
consummer	consumer
representitives	representatives
apperatas	apparatus
ecomonicts	economics
fied	fire
prire	prior
clos_room	classrooms
fie	fly
revinue	revenue
soleum	solemn
shool*2	school
staisfactorally	satisfactorily
esolainious	miscellaneous
alumie	alumni
lodge	hedge
w	you
appromexally	approximately
ke	key
consitutional	constitutional
desetain	destination
enitial	initial
hiar	here
couse	cause
yore	your
sheat	sheath
occasionly	occasionally
threshhold	threshold
nosiey	noisy
cripe	grippe
blow*3	blew
animan	annum
misernanery	miscellaneous
satisfatch	satisfaction
graguly	gradually
kame	came
President	president's
canselution	cancellation
disappiont	disappoint
excecutes	executes
seiged	seized
inconvienence	inconvenienced
embaressed	embarrassed
recommeded	recommended
bibble	bible
beefore	before
approckmate	approximate
fome	from
troup	troop
survay	survey
refemt	refreshment
sertly	certainly
execesses	exists
begen	begun
refrigeator	refrigerator
thorugh	thought
ussually	usually
outamenter	altimeter
splender	splendid
astertain	ascertain
differed	different
temperory	temporary
shutched	searched
sars	stars
legeslature	legislature
sypathic	sympathetic
expalin	explain
encovience	inconvenience
experimet	apparatus
as	us
pimaly	preliminary
vieded	viewed
initihls	initials
spainish	Spanish
annallasis	analysis
preet	pretend
acieved	achieved
reafe	relief
peices	pieces
eva	even
suracaty	sorority
misdemenors	misdemeanors
luckly	luckily
mancificent	magnificent
latestest	latest
shouldnt	shouldn't
prok	pork
paking	packing
grip	grippe
sacraligious	sacrilegious
for	flying
temporately	temporarily
bisycle	bicycle
recenly	recently
bime	belt
finially	finally
verfication	verification
bauthful	beautiful
satishfacen	satisfaction
connecton	connection
proceture	procedure
anisaty	anxiety
refigorator	refrigerator
recmition	recognition
satruligd	sacrilegious
afidavite	affidavit
tequniques	techniques
behaviour	behavior
ceratin	certain
other*3	others
trymth	triumph
feue	fight
yousto	used_to
absurded	absurd
orrigh	alright
delvin	delving
thorouly	thoroughly
avalable*2	available
pepall	people
congraduation	congratulations
proceeder	procedure
actioally	actually
Ensysastic	enthusiastic
coffer	coffee
plebian	plebeian
as	actually
comander	commander
gitting	getting
affestionatly	affectionately
parrald	parallel
scc	scientists
courtiseses	courtesies
cta	sit
tecknal	technical
plom	plum
eazily	easily
flam	flame
picture*2	pictures
semi_permanantly	semi-permanently
fairy	ferry
propoganda	propaganda
ownes	owns
procedier	procedure
polotician	politician
griticism	criticism
primicples	principles
pire	prior
coots	coats
mystry	mystery
under_a_asst	unforgettable
surruptitiously	surreptitiously
persueing	pursuing
fivty	fifty
iland	island
pht	put
lerans	learns
deffinently	definitely
lable	label
asociation	association
tibe	type
rediclous	ridiculous
Statics	statistics
govermont	government
nintieth	ninetieth
strenouous	strenuous
wholy	holy
physian	physician
waying	weighing
rigth*3	right
associate	associate
audortorium	auditorium
graps	grapes
certuse	courteous
recive	receiving
livlihood	livelihood
gloweld	glowed
leafe	leaf
stratagy	strategy
easy	easier
rheumitizm	rheumatism
moutle	mutual
instatance	instance
thorly	thoroughly
originaly*2	originally
volture	voucher
speciemens	specimens
wanna	want_to
harcent	accident
sind	said
swim	swimming
scheudaled	scheduled
discoverd	discovered
economtric	econometric
aheard	ahead
aire	ere
apertunities	opportunities
boad	belt
saddel	saddle
anxioss	anxious
commitee*3	committee
woild	would
unemployed	unemployed
upbuve	above
amenable	amiable
negotations	negotiations
hagee	edge
anoines	annoyance
entrens	entrance
rococco	rococo
relf	relief
repair	repairs
distination	destination
d	be
endebinit	indefinite
suport	support
ininblid	unemployed
sedent	accident
please	phase
pese	piece
gert	great
when	we
consempation	conception
momarandom	memorandum
hark	hawk
sizes	cease
refreashment	refreshment
basball	baseball
courtcies	courtesy
fromed	formed
serverly	severely
taafic	traffic
pregidus	prejudice
angzietay	anxiety
wilking	walking
pictureesks	picturesque
increasi	increase
chasr	chaser
pemanent	permanent
miesalanias	miscellaneous
providge	privilege
pschicology	psychology
endiffinate-	indefinite
afectionaly	affectionately
imploy	employ
graly	gradually
conscienscious	conscientious
prcision	precision
truthfall	truthfully
apparinately	apparently
whated*2	wanted
quizes*2	quizzes
micellanous	miscellaneous
clos	close
scheudel	schedule
hvea	have
effection	affectionate
arigode	avoid
notsod	removed
whey	were
enmies	enemies
echomnic	economic
ceeded	seized
lead	leading
ressemble	resemble
ecknowledging	acknowledging
Mean_while	Meanwhile
irrisiterble	irresistible
proscedgor	procedure
defenty	definite
slad	sled
delienquent	delinquent
grined	grind
lessens	lessons
mantain	maintain
conflanes	convalescence
innituation	initiation
mutal	mutual
phsyology	psychology
facitelies	facilities
atheistical	atheistic
pice	pitch
johhn	john
footandmouth	foot-and-mouth
cary	carry
accomodates	accommodates
tackneccal	technical
gareud	gallery
specimins	specimens
suxsesful	successful
erlyer	earlier
learf	laugh
ommissions	omissions
wis	wish
unforunate	unfortunate
pertickly	particularly
wimin	women
stumo	stomach
affivadat	affidavit
indenfient	indefinite
lighting	lightning
expersaly	especially
faciliated	facilitated
coorespondents	correspondence
countriman	countryman
attourney's	attorneys
mesage	message
kees	keys
origanially	originally
enition	initiation
large	larger
exis	exists
caben	cabin
debted	debit
than	and
acwiped	equipped
pirlet	pilot
primarly	primary
ledser	leisure
arow	arrow
beith	breathe
thy	they
exibison	exhibition
potates*2	potatoes
doubb	doubtless
oppiset	opposite
onw	own
effeciance	efficiency
voughture	voucher
exsepilay	exceptionally
breif	brief
indeffantly	indefinitely
predgice	prejudice
sucesion	succession
corridoored	corridored
sicology	psychology
knowlede	knowledge
encouraged	encouraging
wagon*3	waggon
harrised	harassed
idmitized	itemized
famliy	family
necessarely	necessarily
dormiltory	dormitory
fadies	phase
pecualer	peculiar
bankrupicy	bankruptcy
establicin	establishing
stationery	stationary
finol	final
cenetry	chemistry
andtamter	altimeter
atached	attached
be_gening	beginning
circul	circle
quat	quart
bicust	biscuits
adaquate	adequate
countence	countenance
anxouse	anxious
ancios	anxious
recievers	receivers
sain	saying
dron	drawn
reccuring	recurring
farn	frightened
sastisifactory	satisfactorily
beech	beach
restrarant	restaurant
splented	splendid
garlley	gallery
expet's	experts
vagand	vagabond
forwoand	forward
verusete	virtues
deffinity	definitely
menoramden	memorandum
bet	opposite
Chautaqua	Chautauqua
Chatacque	Chautauqua
labority	laboratory
emenys	enemies
unfortuantally	unfortunately
thoes	those
cros	cross
aclateral	collateral
remember	remembrance
memanidal	memorandum
exabison	exhibition
doye	date
enamys	enemies
milke	milk
occassional*2	occasional
curplas	surplus
blas	base
exspelled	expelled
reched	reached
scycallage	psychology
exaduret	exaggerate
start	started
tent	tenth
cone	came
usually	usual
progess	progress
suser	saucer
tree	trees
bigest*2	biggest
inverd	avoid
gad	vagabond
mom	form
aprocsamate	approximate
deafnet	definite
progreing	progressing
indistry	industry
clateral	collateral
compeinent	competent
rinecout	raincoat
dimonds	diamonds
arigale	originally
bet	belt
heart	hurt
alimentary	elementary
capity	capacity
mast	must
recipiant	recipient
whats*3	what's
mithical	mythical
priviliage	privilege
becler	peculiar
terrify's	terrifies
oner	own
serth	surface
sergant	sergeant
countenounce	countenance
ceses	cease
eltitude	altitude
acoumpish	accomplished
taining	training
ecomonices	economics
petetion	petition
custormester	customer's
tenper	temper
agenticies	agencies
cereer	courses
shore*3	sure
upat	half_past
mischevious	mischievous
opset	opposite
quitely*2	quietly
raly	really
accomadated	accommodated
conveinently	conveniently
eniceation	initiation
poil	pilot
confusin	confusing
spicemens	specimens
idmized	itemized
mear*2	mere
Apprentiship	Apprenticeship
strinious	strenuous
occasonaly	occasionally
chatauchuia	Chautauqua
stitictics	statistics
sirfis	surface
galvantized	galvanized
entham	enthusiasm
discpline	discipline
determin	determine
hones	house
enconble	economical
along	a_long
